fips,name,state,Number_of_returns,estimated_exams,audit_rate,audit_rate_trunk
01001,"Autauga County, Alabama",Alabama,95170,721,7.575916780498056,7.575916780498056
01003,"Baldwin County, Alabama",Alabama,362490,2833,7.815388010703743,7.815388010703743
01005,"Barbour County, Alabama",Alabama,39440,360,9.1277890466531435,9.1277890466531435
01007,"Bibb County, Alabama",Alabama,31840,260,8.165829145728644,8.165829145728644
01009,"Blount County, Alabama",Alabama,87970,673,7.650335341593725,7.650335341593725
01011,"Bullock County, Alabama",Alabama,15420,150,9.72762645914397,9.72762645914397
01013,"Butler County, Alabama",Alabama,33180,304,9.16214587100663,9.16214587100663
01015,"Calhoun County, Alabama",Alabama,192220,1531,7.964831963375298,7.964831963375298
01017,"Chambers County, Alabama",Alabama,59140,533,9.012512681772066,9.012512681772066
01019,"Cherokee County, Alabama",Alabama,36800,304,8.26086956521739,8.26086956521739
01021,"Chilton County, Alabama",Alabama,69470,561,8.075428242406796,8.075428242406796
01023,"Choctaw County, Alabama",Alabama,20820,177,8.501440922190202,8.501440922190202
01025,"Clarke County, Alabama",Alabama,41130,359,8.728422076343302,8.728422076343302
01027,"Clay County, Alabama",Alabama,22090,189,8.555907650520597,8.555907650520597
01029,"Cleburne County, Alabama",Alabama,22790,182,7.9859587538394035,7.9859587538394035
01031,"Coffee County, Alabama",Alabama,84040,655,7.7939076630176105,7.7939076630176105
01033,"Colbert County, Alabama",Alabama,94820,735,7.751529213246151,7.751529213246151
01035,"Conecuh County, Alabama",Alabama,19790,185,9.348155634158665,9.348155634158665
01037,"Coosa County, Alabama",Alabama,15990,132,8.25515947467167,8.25515947467167
01039,"Covington County, Alabama",Alabama,60260,517,8.579488881513441,8.579488881513441
01041,"Crenshaw County, Alabama",Alabama,23020,202,8.774978279756732,8.774978279756732
01043,"Cullman County, Alabama",Alabama,132930,1038,7.808621078763259,7.808621078763259
01045,"Dale County, Alabama",Alabama,80490,659,8.187352466144862,8.187352466144862
01047,"Dallas County, Alabama",Alabama,66530,675,10.145798887719826,10.145798887719826
01049,"DeKalb County, Alabama",Alabama,106630,893,8.374753821626184,8.374753821626184
01051,"Elmore County, Alabama",Alabama,138920,1068,7.687877915346962,7.687877915346962
01053,"Escambia County, Alabama",Alabama,57720,504,8.731808731808732,8.731808731808732
01055,"Etowah County, Alabama",Alabama,167750,1381,8.232488822652757,8.232488822652757
01057,"Fayette County, Alabama",Alabama,25110,208,8.283552369573874,8.283552369573874
01059,"Franklin County, Alabama",Alabama,49640,404,8.13859790491539,8.13859790491539
01061,"Geneva County, Alabama",Alabama,41180,358,8.693540553666828,8.693540553666828
01063,"Greene County, Alabama",Alabama,13760,150,10.901162790697676,10.901162790697676
01065,"Hale County, Alabama",Alabama,25630,237,9.246976199765898,9.246976199765898
01067,"Henry County, Alabama",Alabama,28260,241,8.527954706298656,8.527954706298656
01069,"Houston County, Alabama",Alabama,179410,1528,8.516805083328688,8.516805083328688
01071,"Jackson County, Alabama",Alabama,84950,678,7.9811653914067096,7.9811653914067096
01073,"Jefferson County, Alabama",Alabama,1184300,9899,8.358524022629402,8.358524022629402
01075,"Lamar County, Alabama",Alabama,21330,181,8.485700890764182,8.485700890764182
01077,"Lauderdale County, Alabama",Alabama,152590,1158,7.588963890163183,7.588963890163183
01079,"Lawrence County, Alabama",Alabama,54200,427,7.878228782287822,7.878228782287822
01081,"Lee County, Alabama",Alabama,245810,1944,7.908547251942557,7.908547251942557
01083,"Limestone County, Alabama",Alabama,149580,1125,7.521058965102286,7.521058965102286
01085,"Lowndes County, Alabama",Alabama,19930,202,10.135474159558456,10.135474159558456
01087,"Macon County, Alabama",Alabama,32790,302,9.21012503812138,9.21012503812138
01089,"Madison County, Alabama",Alabama,651310,4970,7.630774899817291,7.630774899817291
01091,"Marengo County, Alabama",Alabama,33470,303,9.052883178966239,9.052883178966239
01093,"Marion County, Alabama",Alabama,43120,358,8.302411873840445,8.302411873840445
01095,"Marshall County, Alabama",Alabama,157520,1288,8.176739461655663,8.176739461655663
01097,"Mobile County, Alabama",Alabama,708010,6156,8.694792446434372,8.694792446434372
01099,"Monroe County, Alabama",Alabama,33340,307,9.208158368326334,9.208158368326334
01101,"Montgomery County, Alabama",Alabama,405530,3549,8.75151036914655,8.75151036914655
01103,"Morgan County, Alabama",Alabama,209600,1618,7.719465648854962,7.719465648854962
01105,"Perry County, Alabama",Alabama,15080,162,10.742705570291777,10.742705570291777
01107,"Pickens County, Alabama",Alabama,30120,273,9.063745019920319,9.063745019920319
01109,"Pike County, Alabama",Alabama,50560,434,8.583860759493671,8.583860759493671
01111,"Randolph County, Alabama",Alabama,35600,311,8.735955056179774,8.735955056179774
01113,"Russell County, Alabama",Alabama,100670,893,8.870567199761597,8.870567199761597
01115,"St. Clair County, Alabama",Alabama,140800,1068,7.585227272727273,7.585227272727273
